f,s,c,ibrain,stage
0.0056197,0.0034403,0.0057032,4,46
0.004087,0.0043586,0.0061325,4,46
0.0057876,0.0058753,0.0068186,4,46
0.0061584,0.0075452,0.010055,4,46
0.0068364,0.0049479,0.0071244,4,46
0.0054414,0.0065618,0.0073836,4,46
0.0048592,0.0041334,0.0046251,4,46
0.0043847,0.0049413,0.0052781,4,46
0.006097,0.0075688,0.0075803,4,46
0.0061504,0.0068388,0.0064211,4,46
0.0047632,0.0047677,0.0053043,4,46
0.0046167,0.0047869,0.0051994,4,46
0.0032646,0.0033404,0.0039245,4,46
0.0046093,0.0055041,0.0063671,4,46
0.0040478,0.0039984,0.0053013,4,46
0.0037408,0.0034314,0.0048278,4,46
0.0045455,0.0039838,0.0048978,4,46
0.0044309,0.0035621,0.0041157,4,46
0.0031364,0.0029952,0.0032784,4,46
0.002601,0.0024909,0.0031868,4,46
0.0044377,0.00462,0.0057935,4,46
0.0035054,0.0040148,0.0041995,4,46
0.0063597,0.0077169,0.0086879,4,46
0.012018,0.011485,0.012641,4,46
0.003721,0.0041167,0.004353,4,46
0.008821,0.02182,0.018692,5,46
0.0042528,0.0092108,0.0071443,5,46
0.0055283,0.0099086,0.0092025,5,46
0.0049716,0.015432,0.014474,5,46
0.0030523,0.0073551,0.0070128,5,46
0.0075987,0.013357,0.012923,5,46
0.0049147,0.012748,0.0093796,5,46
0.0074791,0.019851,0.018416,5,46
0.0055863,0.01022,0.01015,5,46
0.0088619,0.015085,0.014793,5,46
0.0035852,0.0054851,0.0052558,5,46
0.0040516,0.009498,0.0082627,5,46
0.0040241,0.0094063,0.011257,5,46
0.0033987,0.0069427,0.0060046,5,46
0.0033441,0.0060881,0.0054869,5,46
0.0037054,0.0072717,0.0079153,5,46
0.0050306,0.0064493,0.0072886,5,46
0.0061861,0.010168,0.011176,5,46
0.0037221,0.008106,0.0071538,5,46
0.0049055,0.0087623,0.0084388,5,46
0.0030403,0.0068435,0.005407,5,46
0.0053254,0.01158,0.0087613,5,46
0.0050691,0.0046546,0.006125,5,46
0.0033997,0.0059917,0.005366,5,46
0.0028043,0.0041928,0.0043743,5,46
0.0031901,0.0059425,0.0050463,5,46
0.0053139,0.0096006,0.0097299,5,46
0.0030485,0.0042139,0.0047857,5,46
0.0062853,0.011744,0.011483,5,46
0.0041251,0.0067991,0.0074508,5,46
0.0066271,0.0090889,0.009009,5,46
0.0035205,0.0050996,0.0056859,5,46
0.0033628,0.0054808,0.0054379,5,46
0.0043238,0.0090998,0.0065028,5,46
0.0040324,0.014064,0.011146,5,46
0.0040543,0.009065,0.0073087,5,46
0.0038987,0.0062361,0.0064933,5,46
0.0046603,0.0094002,0.0079384,5,46
0.0037106,0.0065384,0.0065405,5,46
0.0029139,0.00547,0.0045144,5,46
0.0036265,0.0059741,0.0052584,5,46
0.0069828,0.010816,0.011443,5,46
0.0036397,0.0065253,0.0061791,5,46
0.0033467,0.0053496,0.0051892,5,46
0.0060619,0.0087355,0.010011,5,46
0.0043539,0.0066407,0.0064631,5,46
0.0041179,0.0082806,0.0064297,5,46
0.0059828,0.0073161,0.007757,5,46
0.0061335,0.0087063,0.0098399,5,46
0.005041,0.012353,0.010652,5,46
0.0053213,0.010984,0.010733,5,46
0.0034794,0.0076367,0.006873,5,46
0.0050347,0.0070945,0.0081591,5,46
0.0054261,0.0067604,0.0059025,5,46
0.0058341,0.0096079,0.0095306,5,46
0.0039235,0.0094127,0.013381,5,46
0.0075394,0.0090629,0.011294,5,46
0.0025846,0.0041764,0.0036995,5,46
0.001973,0.0028149,0.0026076,5,46
0.0029685,0.004342,0.0039691,5,46
0.0038024,0.0073597,0.0069522,5,46
0.0050804,0.0092894,0.0097367,5,46
0.0034338,0.012988,0.011284,5,46
0.004265,0.0064192,0.0060284,5,46
0.0089971,0.013384,0.011627,5,46
0.010073,0.01711,0.013427,5,46
0.0046324,0.0075188,0.0067478,5,46
0.0033132,0.0054062,0.0054353,5,46
0.0094272,0.016654,0.016835,5,46
0.0031817,0.0081776,0.0070767,5,46
0.0067398,0.0095044,0.0088039,5,46
