nexp, ncell, selFC, selSC, indegree, oudegree, katz, revkatz, clust, spiking, insel
4,38,0.13871,0.026733,0.23322,0,0.14381,0.1,0,0.0051574,0.12679
4,41,0.4932,0.36701,0,0.38662,0.1,0.18478,0.0073389,0.0061412,0
4,42,-0.13027,0.32738,0.066731,0,0.1108,0.1,0,0.008306,0.014673
4,45,0.1183,0.25189,0.064347,0.42259,0.11457,0.23554,0.0099341,0.008436,0.014892
4,47,0.24571,0.26144,0.34405,0.3308,0.17527,0.19957,0.01516,0.0038232,0.084077
4,56,0.40393,0.23768,0.079599,0,0.11841,0.1,0,0.0033797,0.0057135
4,57,0.088695,0.27471,0,0.14837,0.1,0.16143,0.035565,0.0033462,0
4,61,0.76032,0.43598,0.070358,0,0.1104,0.1,0,0.0091729,0.034701
4,62,-0.029086,0.3171,0,0.19959,0.1,0.19023,0.021946,0.0093982,0
4,63,0.071778,0.35668,0.27049,0.15328,0.15621,0.13072,0.01579,0.010516,0.037458
4,64,0.0044799,0.30981,0.13229,0.48869,0.12686,0.2445,0.0080273,0.0056765,0.029602
4,67,0.17274,0.446,0.22656,0,0.14373,0.1,0.025317,0.0067602,0.062745
4,70,-0.067531,0.0028681,0,0.064075,0.1,0.1329,0,0.0064065,0
4,72,0.71189,0.59791,0.2112,0.063033,0.13769,0.11621,0,0.0048594,0.029223
4,73,0.34556,0.31227,0.12833,0.13097,0.12567,0.12829,0,0.0061605,0.049564
4,76,0.67068,0.2239,0,0.34253,0.1,0.17837,0,0.0064623,0
