ibrain,stage,cellid,x,y,dist,lat,ac,af,as,selfc,selsc
2,46,87,248,276,250.79,300,0.010228,0.0061121,0.0082314,1.5857,0.72933
2,46,88,276,260,276.82,336,0.012234,0.0089343,0.010512,1.4753,0.6942
2,46,89,216,208,218.17,336,0.015195,0.011025,0.012804,1.2842,0.53954
2,46,90,208,84,259.23,312,0.01256,0.0094833,0.0092221,0.79829,0.8104
2,46,91,304,212,305.17,444,0.0089644,0.0053553,0.0077637,1.3352,0.35868
2,46,92,444,288,446.72,384,0.0040792,0.0026634,0.0032582,0.82719,0.42607
2,46,93,296,112,321.98,432,0.0055289,0.0038819,0.0041256,0.61634,0.52302
2,46,94,244,80,291.07,348,0.018085,0.013089,0.011291,1.1759,1.4586
2,46,95,112,204,117.25,348,0.010211,0.0065214,0.0073567,1.3514,0.94029
2,46,96,324,256,324.46,384,0.0077543,0.0061169,0.0057239,0.591,0.77776
2,46,97,324,292,328.35,432,0.0073253,0.0060701,0.0049604,0.47272,0.95538
2,46,98,328,324,338.9,420,0.0067648,0.0046911,0.0052265,1.3722,0.9725
2,46,99,336,228,336.17,360,0.0064172,0.0039483,0.0046317,0.9604,0.57604
2,46,100,88,152,123.54,312,0.010404,0.0080974,0.0092456,0.89968,0.39293
2,46,101,388,416,426.58,564,0.0028358,0.0019308,0.0019917,0.62086,0.65163
2,46,102,396,296,400.12,576,0.0052155,0.0045622,0.0039189,0.34495,0.63404
2,46,103,392,324,401.17,408,0.0044955,0.0026337,0.0035503,0.97339,0.39091
2,46,104,300,316,309.79,336,0.0098068,0.0051214,0.0083705,2.2456,0.62528
2,46,105,420,420,457.45,348,0.002311,0.0016044,0.0016811,1.0071,0.80785
2,46,106,320,176,326.08,348,0.0097039,0.0074371,0.0078668,0.57602,0.41207
2,46,107,336,200,338.22,384,0.0082574,0.0054639,0.0055864,0.6415,0.53591
2,46,108,216,272,218.55,252,0.0054568,0.0035404,0.0045041,1.0224,0.45404
2,46,109,264,304,271.95,324,0.0065704,0.0046958,0.0052764,0.80863,0.51085
2,46,110,88,224,89.219,240,0.013214,0.0073806,0.0082081,1.6362,1.1559
